entry_price,exit_price,entry_bar,exit_bar,duration_bars,exit_reason,max_roe_pct,max_sl_pct,gross_pnl_pct,fee_pct,net_pnl_pct,net_profit_usd,is_win,symbol,strategy_mode,trade_type,direction,signal_bar,signal_datetime
66555.0,67240.7,8538,8589,52,REVERSE_SIGNAL,1.056,0.27,1.03,0.1,0.93,9.3,True,BTCUSDT,2,FADE,BUY,8537,2026-04-03 03:45:00
67240.7,67078.6,8590,9090,501,REVERSE_SIGNAL,1.134,0.467,0.241,0.1,0.141,1.41,True,BTCUSDT,2,FADE,SELL,8589,2026-04-03 08:05:00
67078.6,67370.7,9091,9255,165,REVERSE_SIGNAL,1.118,0.75,0.435,0.1,0.335,3.35,True,BTCUSDT,2,FADE,BUY,9090,2026-04-05 01:50:00
67370.7,69146.7,9256,9629,374,REVERSE_SIGNAL,4.396,0.354,2.636,0.1,2.536,25.36,True,BTCUSDT,2,TREND,BUY,9255,2026-04-05 15:35:00
69146.7,69121.1,9630,9758,129,REVERSE_SIGNAL,1.329,0.104,0.037,0.1,-0.063,-0.63,False,BTCUSDT,2,TREND,SELL,9629,2026-04-06 22:45:00
69121.1,68603.5504,9759,9771,13,SL,0.142,0.94,-0.749,0.1,-0.849,-8.49,False,BTCUSDT,2,TREND,BUY,9758,2026-04-07 09:30:00
68160.3,68912.0423,9777,9855,79,SL,0.659,1.226,-1.103,0.1,-1.203,-12.03,False,BTCUSDT,2,TREND,SELL,9776,2026-04-07 11:00:00
69326.3,71151.5,9885,10117,233,REVERSE_SIGNAL,5.095,0.283,2.633,0.1,2.533,25.33,True,BTCUSDT,2,TREND,BUY,9884,2026-04-07 20:00:00
71151.5,71420.0,10118,10344,227,REVERSE_SIGNAL,1.1,1.017,0.377,0.1,0.277,2.77,True,BTCUSDT,2,FADE,BUY,10117,2026-04-08 15:25:00
71420.0,70918.4321,10345,10382,38,SL,0.014,0.773,-0.702,0.1,-0.802,-8.02,False,BTCUSDT,2,TREND,BUY,10344,2026-04-09 10:20:00
