trade_idx,datetime,symbol,trade_type,direction,entry_price,exit_price,exit_reason,duration_bars,pos_size_usd,leverage_used,sl_pct,net_pnl_pct,pnl_usd,is_win,equity_after,drawdown_pct
1034,2026-06-10 21:00:00,INJUSDT,TREND,SELL,4.995,4.8951,TP,10,128211.27603379886,0.39999999999999997,2.5,1.9,2436.0142446421783,True,322964.2043291393,0.0
1035,2026-06-10 21:00:00,LINKUSDT,FADE,BUY,7.5273,7.6779,TP,53,215309.46955275955,0.6666666666666666,1.5,1.93,4155.472762368258,True,327119.6770915076,0.0
1036,2026-06-10 21:15:00,SOLUSDT,TREND,SELL,62.92,64.79,REVERSE_SIGNAL,54,93972.90350230037,0.2872737719046251,3.481,-3.072,-2886.8475955906674,False,324232.8294959169,0.8825050272910153
1037,2026-06-10 21:35:00,AVAXUSDT,TREND,SELL,6.374,6.5971,SL,76,79177.73614063904,0.2442002442002442,4.095,-3.6,-2850.398501063006,False,321382.4309948539,1.7538676204576855
1038,2026-06-11 01:05:00,ATOMUSDT,TREND,BUY,1.802,1.838,TP,34,214254.95399656927,0.6666666666666666,1.5,1.9,4070.844125934816,True,325453.2751207887,0.5094166103168156
1039,2026-06-11 03:35:00,TIAUSDT,TREND,BUY,0.3167,0.323,TP,4,216968.85008052585,0.6666666666666667,1.5,1.9,4122.408151529991,True,329575.6832723187,0.0
1040,2026-06-11 03:55:00,RENDERUSDT,TREND,BUY,1.563,1.5943,TP,166,177668.83195273243,0.5390835579514824,1.855,1.9,3375.7078071019164,True,332951.3910794206,0.0
1041,2026-06-11 03:55:00,ARBUSDT,TREND,BUY,0.0805,0.0821,TP,163,221967.59405294707,0.6666666666666667,1.5,1.9,4217.384287005994,True,337168.77536642656,0.0
1042,2026-06-11 03:55:00,AVAXUSDT,FADE,SELL,6.6255,6.493,TP,91,224779.18357761772,0.6666666666666667,1.5,1.93,4338.238243048021,True,341507.0136094746,0.0
1043,2026-06-11 04:10:00,INJUSDT,TREND,BUY,5.208,5.3122,TP,11,227671.3424063164,0.6666666666666667,1.5,1.9,4325.755505720012,True,345832.7691151946,0.0
