symbol,direction,signal_datetime,entry_price,max_roe_pct,max_stoploss_pct,duration_bars,atr_pct,trail_gap_pct,is_low_volatility,is_tight_gap,has_counter_fvg,has_recent_choch,has_recent_bos,quick_loss_under_10_bars
BTCUSDT,SELL,2025-12-18 06:45:00,86607.0,0.07,3.28,30,0.267,0.535,True,False,True,False,False,False
BTCUSDT,SELL,2025-12-18 23:30:00,85444.7,0.447,3.419,37,0.545,1.091,False,False,False,False,False,False
BTCUSDT,BUY,2025-12-25 16:15:00,88377.0,1.336,1.988,95,0.226,0.452,True,True,False,True,False,False
BTCUSDT,BUY,2025-12-30 15:45:00,88966.8,0.436,1.817,102,0.368,0.736,False,False,False,False,False,False
BTCUSDT,SELL,2026-01-12 14:45:00,90852.7,0.215,1.592,67,0.315,0.63,True,False,False,False,False,False
BTCUSDT,BUY,2026-01-23 18:30:00,90700.9,0.0,1.731,86,0.449,0.899,False,False,False,False,False,False
BTCUSDT,SELL,2026-03-03 10:00:00,66462.9,0.576,4.852,88,0.468,0.935,False,False,False,False,False,False
BTCUSDT,SELL,2026-03-14 01:00:00,70656.7,0.567,1.377,110,0.332,0.664,True,False,True,False,False,False
BTCUSDT,SELL,2026-03-24 17:00:00,69205.2,0.463,3.056,53,0.484,0.967,False,False,False,False,False,False
BTCUSDT,BUY,2026-03-31 23:15:00,68224.2,1.559,2.592,113,0.403,0.805,False,False,False,False,False,False
BTCUSDT,SELL,2026-04-05 13:15:00,66676.6,0.016,1.728,30,0.145,0.29,True,True,False,False,False,False
BTCUSDT,SELL,2026-04-12 02:15:00,71737.3,1.783,0.967,150,0.411,0.823,False,False,False,False,True,False
BTCUSDT,SELL,2026-06-14 19:00:00,63757.6,0.064,2.971,11,0.197,0.395,True,True,False,False,False,False
BTCUSDT,BUY,2026-06-25 07:15:00,61774.1,0.254,6.061,26,0.316,0.633,True,False,False,False,False,False
BTCUSDT,BUY,2026-06-27 14:30:00,60607.3,0.524,1.705,104,0.199,0.399,True,True,False,False,False,False
BTCUSDT,BUY,2026-07-06 18:15:00,63735.4,1.501,2.04,144,0.484,0.968,False,False,True,False,False,False
BTCUSDT,SELL,2026-07-08 06:15:00,62592.1,1.713,1.109,111,0.292,0.583,True,False,False,False,False,False
BTCUSDT,SELL,2026-07-27 22:45:00,63755.5,1.718,1.113,129,0.29,0.581,True,False,False,False,False,False
BTCUSDT,BUY,2026-07-29 07:00:00,64435.9,1.483,1.865,198,0.229,0.457,True,True,False,False,False,False
BTCUSDT,BUY,2026-08-02 03:00:00,63393.0,0.609,1.068,109,0.193,0.386,True,True,True,False,False,False
BTCUSDT,SELL,2026-08-09 03:45:00,64758.9,0.018,0.751,40,0.066,0.132,True,True,False,False,False,False
BTCUSDT,SELL,2026-08-16 23:15:00,62825.4,0.162,1.189,24,0.152,0.305,True,True,False,False,False,False
BTCUSDT,SELL,2026-08-23 05:45:00,76065.0,0.256,2.62,64,0.365,0.73,False,False,False,False,False,False
DOGEUSDT,BUY,2025-10-21 15:30:00,0.2051,0.224,6.221,48,0.926,1.804,False,False,False,False,False,False
DOGEUSDT,SELL,2025-10-26 04:30:00,0.1953,0.133,2.868,23,0.256,0.512,True,False,True,False,False,False
DOGEUSDT,SELL,2025-11-09 03:00:00,0.1726,0.886,4.298,67,0.521,1.1,False,False,False,False,False,False
DOGEUSDT,SELL,2025-11-12 17:00:00,0.1687,0.931,4.95,60,0.949,1.838,False,False,False,False,False,False
DOGEUSDT,BUY,2025-11-18 18:15:00,0.1611,1.142,5.004,88,0.683,1.366,False,False,False,False,False,False
DOGEUSDT,BUY,2025-11-26 17:45:00,0.1557,0.681,3.655,128,0.707,1.349,False,False,False,False,False,False
DOGEUSDT,SELL,2025-12-09 11:15:00,0.1402,0.064,6.592,19,0.357,0.642,False,False,False,False,False,False
DOGEUSDT,BUY,2025-12-13 12:00:00,0.1396,0.244,2.858,95,0.286,0.501,True,False,True,False,False,False
DOGEUSDT,SELL,2025-12-21 15:00:00,0.1291,0.139,3.951,71,0.465,1.007,False,False,False,False,False,False
DOGEUSDT,BUY,2026-02-20 23:30:00,0.0999,0.99,2.391,105,0.6,1.301,False,False,True,False,False,False
DOGEUSDT,SELL,2026-03-01 20:00:00,0.091,0.582,6.724,80,0.769,1.538,False,False,True,False,False,False
DOGEUSDT,BUY,2026-03-30 04:45:00,0.0929,1.087,3.412,115,0.538,1.077,False,False,False,False,False,False
DOGEUSDT,SELL,2026-03-31 09:30:00,0.09,0.756,3.69,81,0.445,0.778,False,False,False,False,False,False
DOGEUSDT,BUY,2026-04-01 05:45:00,0.0932,1.427,3.714,84,0.429,0.859,False,False,False,False,False,False
DOGEUSDT,SELL,2026-04-02 02:45:00,0.0901,1.277,2.41,152,0.555,1.11,False,False,True,False,False,False
DOGEUSDT,BUY,2026-04-03 16:45:00,0.092,1.229,1.598,148,0.326,0.652,True,False,True,False,False,False
DOGEUSDT,SELL,2026-04-06 23:15:00,0.0902,0.233,3.603,91,0.333,0.776,True,False,False,False,False,False
DOGEUSDT,SELL,2026-04-27 15:45:00,0.0972,0.154,3.942,50,0.515,0.926,False,False,True,True,False,False
DOGEUSDT,BUY,2026-05-08 22:30:00,0.1094,1.69,1.599,116,0.365,0.731,False,False,True,False,False,False
DOGEUSDT,BUY,2026-05-23 20:30:00,0.1042,0.826,3.514,211,0.48,0.96,False,False,False,False,False,False
DOGEUSDT,BUY,2026-06-13 12:30:00,0.0882,0.715,2.303,102,0.34,0.681,True,False,False,False,False,False
DOGEUSDT,BUY,2026-06-20 07:15:00,0.0842,0.047,2.387,159,0.237,0.594,True,False,False,False,False,False
DOGEUSDT,SELL,2026-06-21 23:00:00,0.0825,0.473,2.607,57,0.364,0.728,False,False,False,False,False,False
DOGEUSDT,BUY,2026-06-22 13:15:00,0.0844,0.77,3.069,37,0.355,0.711,False,False,False,False,False,False
DOGEUSDT,BUY,2026-06-25 07:45:00,0.0773,0.026,7.656,24,0.388,0.776,False,False,False,False,False,False
DOGEUSDT,SELL,2026-06-25 13:45:00,0.0717,0.014,6.151,148,0.837,1.813,False,False,False,False,False,False
DOGEUSDT,SELL,2026-07-05 02:45:00,0.0758,0.738,3.574,78,0.527,0.923,False,False,False,False,False,False
DOGEUSDT,BUY,2026-08-09 22:00:00,0.0709,0.071,2.652,14,0.141,0.282,True,True,True,False,False,False
DOGEUSDT,SELL,2026-08-24 19:45:00,0.0891,0.505,3.054,22,0.898,1.797,False,False,True,False,False,False
ETHUSDT,BUY,2025-11-05 17:45:00,3433.78,1.317,5.402,91,0.724,1.449,False,False,False,False,False,False
ETHUSDT,SELL,2025-11-12 17:00:00,3400.98,0.887,4.823,59,0.848,1.697,False,False,False,False,True,False
ETHUSDT,BUY,2025-11-13 07:45:00,3537.16,0.335,5.204,34,0.634,1.269,False,False,False,False,False,False
ETHUSDT,BUY,2025-11-18 18:30:00,3157.0,0.389,5.285,47,0.757,1.514,False,False,False,False,False,False
ETHUSDT,SELL,2025-11-29 12:00:00,2993.33,1.113,1.967,107,0.266,0.532,True,False,False,False,True,False
ETHUSDT,BUY,2025-12-26 06:30:00,2979.08,0.463,2.889,41,0.325,0.65,True,False,True,False,False,False
ETHUSDT,SELL,2026-01-13 02:45:00,3100.13,0.01,2.837,52,0.299,0.598,True,False,True,False,False,False
ETHUSDT,BUY,2026-01-17 15:30:00,3327.08,1.229,4.571,131,0.161,0.323,True,True,False,False,False,False
ETHUSDT,SELL,2026-02-09 10:15:00,2026.98,0.936,5.715,35,0.596,1.191,False,False,False,False,False,False
ETHUSDT,BUY,2026-02-18 08:15:00,2029.29,0.035,4.06,42,0.417,0.835,False,False,True,False,False,False
ETHUSDT,SELL,2026-03-14 07:15:00,2078.66,0.893,1.813,88,0.324,0.648,True,False,False,False,False,False
ETHUSDT,BUY,2026-03-28 15:30:00,2027.21,0.087,1.926,77,0.417,0.833,False,False,False,False,False,False
ETHUSDT,SELL,2026-04-02 03:30:00,2052.97,1.823,1.512,273,0.741,1.482,False,False,False,False,False,False
ETHUSDT,BUY,2026-04-04 23:45:00,2064.43,0.008,1.846,31,0.187,0.375,True,True,True,False,False,False
ETHUSDT,BUY,2026-04-29 05:30:00,2325.64,0.896,2.794,45,0.33,0.66,True,False,False,False,False,False
ETHUSDT,SELL,2026-05-13 14:45:00,2266.43,1.475,2.267,104,0.401,0.803,False,False,False,False,False,False
ETHUSDT,BUY,2026-05-29 17:00:00,2041.51,0.107,1.993,189,0.555,1.11,False,False,False,False,False,False
ETHUSDT,BUY,2026-06-20 06:45:00,1726.88,1.288,1.535,163,0.286,0.571,True,False,False,False,True,False
ETHUSDT,SELL,2026-06-21 23:30:00,1705.69,0.107,3.477,48,0.413,0.827,False,False,False,True,False,False
ETHUSDT,BUY,2026-06-22 11:30:00,1762.68,0.926,3.04,71,0.352,0.704,False,False,False,False,False,False
ETHUSDT,BUY,2026-06-25 07:00:00,1652.28,0.407,7.401,27,0.429,0.858,False,False,False,False,False,False
ETHUSDT,BUY,2026-06-27 14:15:00,1593.42,1.068,1.998,68,0.241,0.482,True,True,False,False,False,False
LINKUSDT,SELL,2025-10-26 06:00:00,17.756,0.107,3.272,23,0.278,0.556,True,False,True,False,False,False
LINKUSDT,BUY,2025-11-01 09:45:00,17.334,1.875,4.794,166,0.437,0.875,False,False,True,False,True,False
LINKUSDT,BUY,2025-11-05 23:00:00,15.176,0.593,6.207,72,0.702,1.404,False,False,False,False,False,False
LINKUSDT,SELL,2025-11-12 16:45:00,15.161,1.675,5.626,59,1.106,2.212,False,False,False,False,False,False
LINKUSDT,BUY,2025-11-13 07:30:00,15.879,0.428,7.299,40,0.799,1.598,False,False,True,False,False,False
LINKUSDT,BUY,2025-11-20 04:45:00,13.769,1.678,7.197,49,0.601,1.203,False,False,False,False,False,False
LINKUSDT,SELL,2025-11-28 19:00:00,13.155,1.908,1.3,179,0.594,1.189,False,False,False,False,False,False
LINKUSDT,BUY,2025-11-30 15:45:00,13.24,1.307,6.088,34,0.477,0.955,False,False,False,False,False,False
LINKUSDT,SELL,2025-12-07 14:45:00,13.23,0.469,11.534,197,0.769,1.537,False,False,True,False,False,False
LINKUSDT,BUY,2026-01-11 19:30:00,13.279,1.792,2.854,107,0.35,0.7,False,False,True,False,False,False
LINKUSDT,SELL,2026-01-12 22:15:00,13.049,0.146,3.579,66,0.447,0.894,False,False,False,False,False,False
LINKUSDT,BUY,2026-01-17 16:00:00,13.868,0.043,11.307,128,0.291,0.581,True,False,False,False,False,False
LINKUSDT,SELL,2026-03-12 05:15:00,8.841,0.011,3.156,75,0.376,0.75,False,False,False,False,False,False
LINKUSDT,SELL,2026-03-14 00:30:00,9.062,1.655,1.324,94,0.439,0.877,False,False,True,False,True,False
LINKUSDT,SELL,2026-04-08 23:15:00,8.852,1.909,2.09,86,0.494,0.986,False,False,True,False,False,False
LINKUSDT,SELL,2026-04-27 07:30:00,9.318,1.91,0.848,186,0.379,0.758,False,False,False,False,True,False
LINKUSDT,BUY,2026-04-29 06:00:00,9.357,0.609,3.057,39,0.284,0.569,True,False,False,False,False,False
LINKUSDT,BUY,2026-05-14 15:45:00,10.635,1.26,4.1,59,0.609,1.219,False,False,False,False,False,False
LINKUSDT,BUY,2026-05-23 20:45:00,9.753,0.277,4.286,98,0.568,1.136,False,False,False,False,False,False
