symbol,orig_direction,rev_direction,signal_index,entry_index,entry_price,exit_price,duration_bars,rev_max_roe_pct,rev_max_sl_pct,rev_net_pnl_pct,rev_label
BTCUSDT,BUY,SELL,26327,26328,64059.9,64329.1,252,0.505,1.6,-0.42,lose
BTCUSDT,SELL,BUY,26578,26579,64258.6,65332.4,30,2.224,0.349,1.671,win
BTCUSDT,BUY,SELL,27105,27106,64318.6,63765.6,197,1.169,2.183,0.86,lose
BTCUSDT,SELL,BUY,27907,27908,62764.9,63750.2,37,1.904,0.791,1.57,lose
BTCUSDT,BUY,SELL,27943,27944,63678.5,64219.1,343,0.61,2.11,-0.849,lose
BTCUSDT,SELL,BUY,28285,28286,64225.8,64999.8,27,1.498,0.134,1.205,lose
BTCUSDT,BUY,SELL,28311,28312,65055.0,64795.0,163,0.868,0.466,0.4,lose
BTCUSDT,BUY,SELL,28513,28514,65195.0,64529.9,101,1.093,0.441,1.02,lose
BTCUSDT,BUY,SELL,28794,28795,64230.5,63512.3,20,1.463,0.342,1.118,lose
BTCUSDT,SELL,BUY,28813,28814,63462.3,63260.6,383,0.833,1.541,-0.318,lose
BTCUSDT,BUY,SELL,29195,29196,63294.8,62874.8,29,0.97,0.119,0.664,lose
BTCUSDT,BUY,SELL,29247,29248,63460.0,76091.0,579,0.323,25.363,-19.904,lose
DOGEUSDT,BUY,SELL,209,210,0.1899,0.1936,238,2.085,6.582,-1.943,win
DOGEUSDT,SELL,BUY,446,447,0.1934,0.2043,43,6.298,0.719,5.662,win
DOGEUSDT,BUY,SELL,1478,1479,0.1861,0.1825,164,2.048,1.457,1.935,win
DOGEUSDT,SELL,BUY,1641,1642,0.1834,0.1664,338,1.827,17.393,-9.217,lose
DOGEUSDT,BUY,SELL,1978,1979,0.1671,0.1588,46,4.987,0.174,4.921,win
DOGEUSDT,BUY,SELL,2595,2596,0.1778,0.1689,12,5.614,0.028,4.978,win
DOGEUSDT,BUY,SELL,2666,2667,0.1758,0.1638,41,7.212,1.035,6.825,win
DOGEUSDT,BUY,SELL,3325,3326,0.1584,0.1483,52,6.939,0.852,6.351,win
DOGEUSDT,SELL,BUY,3376,3377,0.148,0.1436,237,3.418,10.051,-2.965,win
DOGEUSDT,SELL,BUY,3848,3849,0.1483,0.1563,106,5.538,0.492,5.423,win
DOGEUSDT,SELL,BUY,4081,4082,0.1502,0.1402,435,3.529,12.339,-6.672,win
DOGEUSDT,BUY,SELL,6970,6971,0.1241,0.1245,140,1.362,3.134,-0.298,lose
DOGEUSDT,SELL,BUY,7109,7110,0.1236,0.1203,269,1.44,6.705,-2.685,lose
DOGEUSDT,BUY,SELL,9346,9347,0.1281,0.1252,79,3.858,0.07,2.226,win
DOGEUSDT,BUY,SELL,10475,10476,0.1097,0.1033,192,6.811,0.793,5.845,win
DOGEUSDT,BUY,SELL,11416,11417,0.0939,0.105,313,3.482,25.229,-11.8,win
DOGEUSDT,BUY,SELL,12475,12476,0.0967,0.0928,31,4.466,0.868,4.084,win
DOGEUSDT,BUY,SELL,13162,13163,0.097,0.0919,61,6.059,0.721,5.276,win
DOGEUSDT,BUY,SELL,13830,13831,0.0915,0.0916,156,1.562,9.724,-0.131,lose
DOGEUSDT,SELL,BUY,13985,13986,0.0916,0.0953,123,4.574,0.611,4.039,win
DOGEUSDT,SELL,BUY,14267,14268,0.0959,0.0958,97,1.511,2.085,-0.146,lose
DOGEUSDT,BUY,SELL,14363,14364,0.0958,0.097,318,1.482,9.006,-1.273,lose
DOGEUSDT,BUY,SELL,15169,15170,0.0942,0.0942,252,1.953,3.981,-0.021,lose
DOGEUSDT,SELL,BUY,16385,16386,0.0907,0.0933,75,3.155,1.147,2.868,win
DOGEUSDT,BUY,SELL,16459,16460,0.0931,0.0905,93,3.533,0.505,2.803,win
DOGEUSDT,SELL,BUY,16752,16753,0.0914,0.0942,75,3.218,0.547,3.109,win
DOGEUSDT,BUY,SELL,16826,16827,0.0939,0.0913,216,3.57,1.513,2.749,win
DOGEUSDT,SELL,BUY,17041,17042,0.091,0.0928,169,2.439,0.857,1.945,win
DOGEUSDT,BUY,SELL,17890,17891,0.0958,0.0973,648,2.442,5.217,-1.565,win
DOGEUSDT,SELL,BUY,18738,18739,0.1018,0.1069,33,6.403,0.913,4.979,win
DOGEUSDT,BUY,SELL,18770,18771,0.107,0.1122,664,2.506,9.612,-4.928,win
DOGEUSDT,SELL,BUY,19736,19737,0.1084,0.1109,58,2.49,0.59,2.296,win
DOGEUSDT,BUY,SELL,19793,19794,0.1109,0.1118,473,4.212,6.963,-0.875,win
DOGEUSDT,SELL,BUY,20265,20266,0.1115,0.1117,172,2.027,3.471,0.143,win
DOGEUSDT,BUY,SELL,20436,20437,0.1117,0.1069,57,5.981,0.976,4.289,win
DOGEUSDT,BUY,SELL,20791,20792,0.1057,0.104,167,2.923,0.955,1.655,win
DOGEUSDT,SELL,BUY,21263,21264,0.1009,0.1006,385,2.863,4.488,-0.357,win
DOGEUSDT,BUY,SELL,21647,21648,0.1004,0.0993,158,1.454,1.354,1.105,lose
DOGEUSDT,SELL,BUY,21804,21805,0.0993,0.0831,623,2.245,21.851,-16.353,win
DOGEUSDT,BUY,SELL,22835,22836,0.085,0.0863,176,0.988,8.776,-1.518,lose
DOGEUSDT,SELL,BUY,23010,23011,0.0861,0.0885,27,3.066,0.07,2.822,win
